starttime	seconds	ctime	dtime	ttime	wait
Fri Jul 21 11:18:20 2023	1689927500	0	12	12	10
Fri Jul 21 11:18:20 2023	1689927500	1	15	15	11
Fri Jul 21 11:18:20 2023	1689927500	1	15	15	13
Fri Jul 21 11:18:20 2023	1689927500	0	15	16	14
Fri Jul 21 11:18:20 2023	1689927500	0	17	17	14
Fri Jul 21 11:18:20 2023	1689927500	0	20	20	14
Fri Jul 21 11:18:20 2023	1689927500	0	22	22	20
Fri Jul 21 11:18:20 2023	1689927500	0	22	22	21
Fri Jul 21 11:18:20 2023	1689927500	0	24	24	22
Fri Jul 21 11:18:20 2023	1689927500	0	26	26	24
Fri Jul 21 11:18:20 2023	1689927500	0	26	26	24
Fri Jul 21 11:18:20 2023	1689927500	0	26	26	24
Fri Jul 21 11:18:20 2023	1689927500	0	27	27	25
Fri Jul 21 11:18:20 2023	1689927500	0	30	30	28
Fri Jul 21 11:18:20 2023	1689927500	0	44	44	42
Fri Jul 21 11:18:20 2023	1689927500	0	44	44	16
Fri Jul 21 11:18:20 2023	1689927500	0	52	52	45
Fri Jul 21 11:18:21 2023	1689927501	0	63	64	63
Fri Jul 21 11:18:20 2023	1689927500	0	67	68	44
Fri Jul 21 11:18:20 2023	1689927500	0	74	74	71
Fri Jul 21 11:18:21 2023	1689927501	0	76	77	76
Fri Jul 21 11:18:21 2023	1689927501	0	86	86	84
Fri Jul 21 11:18:21 2023	1689927501	0	86	86	84
Fri Jul 21 11:18:21 2023	1689927501	1	86	86	84
Fri Jul 21 11:18:20 2023	1689927500	0	87	88	85
Fri Jul 21 11:18:20 2023	1689927500	0	88	88	86
Fri Jul 21 11:18:21 2023	1689927501	0	95	96	95
Fri Jul 21 11:18:21 2023	1689927501	0	95	96	95
Fri Jul 21 11:18:21 2023	1689927501	0	95	96	86
Fri Jul 21 11:18:21 2023	1689927501	0	98	98	88
Fri Jul 21 11:18:20 2023	1689927500	0	98	98	95
